B,B,R,R,R,B,B,R,B,B,B,B,B,B,R,R,B,B,B,B
B,B,R,R,R,B,B,R,R,B,B,B,T,B,R,R,B,B,B,B
B,B,B,R,R,T,B,R,R,T,B,T,B,B,B,R,R,R,B,B
B,B,B,B,B,B,R,R,R,B,T,B,B,B,B,B,R,R,B,B
B,B,B,B,T,B,B,B,T,B,B,R,R,R,R,B,T,R,B,B
R,R,R,R,B,B,B,B,B,B,B,R,R,R,B,B,B,B,B,B
R,R,R,R,T,B,B,T,B,B,R,R,R,T,B,B,B,B,T,B
R,R,R,B,B,B,B,B,B,B,B,B,B,B,B,B,B,R,B,B
R,R,T,B,T,R,R,R,B,T,B,B,B,R,R,B,R,R,R,B
B,B,B,B,R,R,R,R,B,B,B,B,R,R,R,B,R,R,B,B
T,B,T,B,R,R,R,T,B,B,T,B,R,R,T,B,R,R,T,R
B,B,B,B,B,B,B,B,B,R,R,B,R,R,B,B,T,B,B,R
B,R,R,R,R,T,B,B,B,R,T,B,B,T,B,B,B,B,B,D
B,R,R,R,R,B,B,T,R,R,B,B,B,B,B,R,R,T,B,B
B,R,R,R,T,B,B,B,B,B,B,B,B,B,B,R,R,R,B,B
B,T,B,B,B,B,R,B,B,T,B,B,B,B,B,R,R,R,B,B
B,B,R,R,R,B,B,B,R,R,R,T,B,B,B,B,R,R,B,B
B,B,R,R,R,T,B,B,R,R,R,B,B,R,R,B,T,B,B,B
B,K,B,R,R,B,B,B,B,R,R,B,R,R,R,B,T,B,R,R
B,B,B,B,B,B,B,B,T,B,T,B,T,R,R,B,B,B,R,R
